Column,Layer,TDC_id,TDC_Ch_id,T0[ns],TMax[ns],ADC_peak[ns],ADC_width[ns],Resolution[um],Efficiency
20,2,26,11,292.60845811072403,188.29605025501957,181.92754292944247,28.45693038219037,108.04822360360384,0.9895712630359212
20,3,26,8,290.8673509542091,188.64968709762138,167.90330246886452,26.955590914005576,105.681674955006,0.9923117709437964
20,4,26,9,290.97594794335464,190.84629434956787,168.01391010585593,27.71616478324911,115.14999805519777,0.9928007023705004
20,5,27,10,281.328999305547,202.54518898362056,170.99349565231955,25.48600569244426,112.2283524152961,0.9928835002635741
20,6,27,11,279.1914539240034,201.248983240845,148.25080458738935,23.29651901629837,105.64613410993697,0.9932060543515652
20,7,27,8,279.11599076670865,202.49713782293446,145.33948973747786,23.610253652082715,105.53645748317123,0.9923017040048439
20,8,27,9,278.9588557255331,201.28183365820524,136.94374888287652,21.38933001382452,109.18969984736,0.990839825357418
21,1,26,14,289.36366157023866,190.30292820866367,152.8533849460174,23.0201394773147,112.03426718709639,0.9822704419158508
21,2,26,15,289.3696656874875,188.23264444165153,143.0736321525359,21.994563331183155,109.45038610438411,0.9896824690918794
21,3,26,12,288.89385094388695,187.84269617213073,149.4514936324659,23.915024485055916,108.96159753332721,0.9925716307039264
21,4,26,13,291.2932713691889,189.92818807859794,173.9429885968217,25.931123278235617,107.10132008852811,0.9924653933765551
21,5,27,14,278.09923537422264,201.4090978711671,137.8704888528306,21.572702245893346,107.45628220404363,0.9928057553956835
21,6,27,15,281.25743000419135,203.21678598854527,164.1812750414751,23.763072147184502,113.16394621369507,0.9956824389814081
21,7,27,12,281.1623636721501,201.5275359109657,156.2758920605585,24.634762545365014,105.01592139007427,0.992438727620372
21,8,27,13,280.99051542794876,203.7858414142599,166.14815911336785,25.438137773818355,108.81240973037784,0.9912531393435524
22,1,26,18,291.4061968363146,187.80774311637373,177.3447218486539,27.684701947306472,112.77388137721739,0.9834926934872813
22,2,26,19,290.5683761357677,187.98562715518176,160.98709807232643,24.45141716939738,104.66215590168372,0.988408662054093
22,3,26,16,288.49388078315815,188.41743083409358,144.0364149334847,22.377519286215758,108.96534543740675,0.9925597874224977
22,4,26,17,287.9316241462964,190.65597729182332,139.67944547144234,21.74243147026945,112.7728530260501,0.9943030087235178
22,5,27,18,279.2085669811621,203.43727965122127,150.0007959572505,23.354771547006706,108.01560674088388,0.9941475169980205
22,6,27,19,281.8933134716373,202.12908767135184,184.51675955574757,26.880359508275163,104.59377986385344,0.9942808365343576
22,7,27,16,281.0340418957396,201.69402813580672,170.69802733476968,26.321202233843827,101.0367640867154,0.9928386540120794
